19:23:02.657 0x1aa00           j9jit.15       - MTH_S: 000000000004F4D8 00007F1D5003385C 0000000000000000 [1] java.lang.String.startsWith (Bytecode PC: 0) invokeCountDown: 1998, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 7 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 00000000000C5350 00007F1D701D1E9C 0000000000000000 [2] java.lang.VersionProps.<clinit> (Bytecode PC: 4) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 29 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F1D7013917A 0000000000000000 [3] java.lang.System.ensureProperties (Bytecode PC: 150) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 242 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138CA0 0000000000000000 [4] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 227 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [5] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 200 bcsz
19:23:02.657 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [6] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 142 bcsz
19:23:02.659 0x1aa00           j9jit.15       - MTH_S: 00000000000CD830 00007F1D701DB834 0000000000000000 [1] java.util.concurrent.ConcurrentHashMap$EntrySetView.<init> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 6 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 00000000000BE290 00007F1D701BF9F9 0000000000000000 [2] java.util.concurrent.ConcurrentHashMap.entrySet (Bytecode PC: 17) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 25 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 00000000000BB0A0 00007F1D701B68A8 0000000000000000 [3] java.util.Properties.entrySet (Bytecode PC: 8) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 19 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 00000000000CB248 00007F1D701DA315 0000000000000000 [4] jdk.internal.misc.VM.saveAndRemoveProperties (Bytecode PC: 17) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 137 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F1D701391CA 0000000000000000 [5] java.lang.System.ensureProperties (Bytecode PC: 230) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 242 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138CA0 0000000000000000 [6] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 227 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [7] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 200 bcsz
19:23:02.659 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [8] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 142 bcsz
19:23:02.661 0x1aa00           j9jit.15       - MTH_S: 00000000000D4B00 00007F1D701DE7E8 0000000000000000 [1] java.nio.charset.Charset.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 28 bcsz
