19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 00000000000BF880 00007F9B141C346B 0000000000000000 [8] java.util.concurrent.ConcurrentHashMap.<clinit> (Bytecode PC: 75) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 196 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 00000000000BB200 00007F9B141B5529 0000000000000000 [9] java.util.Properties.<init> (Bytecode PC: 9) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 32 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 00000000000BB170 00007F9B141B54A0 0000000000000000 [10] java.util.Properties.<init> (Bytecode PC: 4) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 8 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F9B141390E8 0000000000000000 [11] java.lang.System.ensureProperties (Bytecode PC: 4) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 242 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F9B14138CA0 0000000000000000 [12] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 227 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E653 0000000000000000 [13] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 200 bcsz
19:23:03.069 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [14] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 6, cpu: 0.0%, 142 bcsz
19:23:03.071 0x1aa00           j9jit.15       - MTH_S: 00000000000C7C48 00007F9B141D7240 0000000000000000 [1] java.lang.AbstractStringBuilder.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 7 bcsz
19:23:03.072 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F9B1413919A 0000000000000000 [2] java.lang.System.ensureProperties (Bytecode PC: 182) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 242 bcsz
19:23:03.072 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F9B14138CA0 0000000000000000 [3] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 227 bcsz
19:23:03.072 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E653 0000000000000000 [4] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 200 bcsz
19:23:03.072 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [5] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 7, cpu: 0.0%, 142 bcsz
19:23:03.073 0x1aa00           j9jit.15       - MTH_S: 00000000000455E0 00007F9AF14F7A63 0000000000000000 [1] java.lang.Class.getMethodHelper (Bytecode PC: 583) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 85 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000045580 00007F9AF14F7779 0000000000000000 [2] java.lang.Class.getMethod (Bytecode PC: 29) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 33 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000045E20 00007F9AF14F925B 0000000000000000 [3] java.lang.Class.getPrimitiveClass (Bytecode PC: 179) invokeCountDown: 1991, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 223 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000D0B88 00007F9B141DD0BA 0000000000000000 [4] java.lang.Void.<clinit> (Bytecode PC: 2) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 9 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000D0470 00007F9B141BC479 0000000000000000 [5] java.lang.reflect.Array.newInstance (Bytecode PC: 29) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 49 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000CE0F0 00007F9B141DC556 0000000000000000 [6] java.util.concurrent.ConcurrentHashMap$CollectionView.toArray (Bytecode PC: 50) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 204 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000CD258 00007F9B141DAFA3 0000000000000000 [7] java.util.Properties$EntrySet.toArray (Bytecode PC: 7) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 11 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000CEE60 00007F9B141BB052 0000000000000000 [8] java.util.Collections$SynchronizedCollection.toArray (Bytecode PC: 14) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 25 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 00000000000CC348 00007F9B141DA25E 0000000000000000 [9] jdk.internal.misc.VM.saveAndRemoveProperties (Bytecode PC: 26) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 137 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000063C68 00007F9B141391CA 0000000000000000 [10] java.lang.System.ensureProperties (Bytecode PC: 230) invokeCountDown: 15, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 242 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F9B14138CA0 0000000000000000 [11] java.lang.System.afterClinitInitialization (Bytecode PC: 28) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 227 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F9B1413E653 0000000000000000 [12] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 200 bcsz
19:23:03.073 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F9B1413E2D2 0000000000000000 [13] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 142 bcsz
19:23:03.075 0x1aa00           j9jit.15       - MTH_S: 00000000000D89E0 00007F9B141E2E48 0000000000000000 [1] sun.nio.cs.StandardCharsets.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 70 bcsz
